allocation_of,seed,trained_b2a,trained_a2b,trained_family_f1,trained_fine_f1,trained_hsr_balanced,trained_hsr_miss,trained_hsr_fatigue,trained_awbir,recal_b2a,recal_a2b,recal_family_f1,recal_fine_f1,recal_hsr_balanced,recal_hsr_miss,recal_hsr_fatigue,recal_awbir
taylor,613,0.00075,0.05491745797084968,0.5883299154613096,0.5006502102495188,0.18371651357718083,0.16190887066829798,0.15635762677818155,0.08591531268020723,0.00025,0.05551448986941112,0.6019596822477857,0.5120867765547747,0.18200909406329321,0.16058645751538503,0.15496064717590988,0.062100960592911814
taylor,719,0.00025,0.06003487424423343,0.7007516440019661,0.5882014097598125,0.16904183634338305,0.15050629097350304,0.14399663994448603,0.025620902970558503,0.0,0.057589886469172305,0.66534630185221,0.5638325477610966,0.17002793959204543,0.15093771114479282,0.14481108818319607,0.03743199362274697
taylor,823,0.0005,0.04630314057732037,0.5645958389477541,0.4881890313237014,0.18029619619802414,0.15767760510825832,0.1537974105659137,0.13876609795341205,0.0005,0.04690017247588181,0.580960974064277,0.5070539178911799,0.17618195431054948,0.15434494135120494,0.15033326637570535,0.09415699763773594
taylor,907,0.0,0.05378025435454218,0.6438998640496012,0.5565201711360975,0.17642117565420645,0.15565365862566424,0.15030587461879805,0.060605791778801515,0.0,0.05329694281761149,0.6343483976426207,0.5396987407529535,0.17586786216467926,0.15511495407315426,0.14984112780993772,0.06399187290121446
taylor,1013,0.00025,0.055059608422888116,0.6682558649734027,0.577099433525702,0.17312868647395044,0.1531130731725133,0.14743247931922354,0.046354228561964916,0.00025,0.055353386023767555,0.6465425547321708,0.5476759624791699,0.1761235185624806,0.1556559412720732,0.1499379120176768,0.052903065421273245
taylor,1109,0.0,0.05846174257500805,0.602516852907275,0.5207236467916039,0.17769945764321324,0.15747064516718104,0.15127189057906174,0.04719884697949828,0.0,0.059020867686359245,0.6006422625096578,0.5243420101108489,0.17825824948412192,0.15802608912668992,0.151700115045379,0.055373934283421695
taylor,1201,0.0,0.051022535584996496,0.6339834627137272,0.5412835254795021,0.17275981081426564,0.1521596878557124,0.14740691367944342,0.049892560718651044,0.0,0.049250393282917304,0.6301291835371019,0.5328931542409372,0.17020507295337922,0.1497461697193258,0.14532605321305309,0.043111380454113446
taylor,1303,0.00025,0.055163852087716306,0.554775993051858,0.48952030463189594,0.1863771662314421,0.16417021237742188,0.1584211391318639,0.15665935431091615,0.00025,0.05387502132256781,0.5674854790871129,0.504400305850602,0.18198900677489455,0.16030645288922166,0.15483921038695422,0.12888285795872712
taylor,1409,0.00025,0.05699285457061087,0.5723681360061049,0.4893418426018357,0.18872920509121455,0.16642394526518264,0.16047095560709262,0.12974289478439258,0.00025,0.055571350050226495,0.5884581635416185,0.5169333936970395,0.183179635141798,0.1615710389997748,0.15589287996932125,0.10259940470862447
taylor,1511,0.0,0.05696442448020318,0.6268557004163292,0.5257582378251828,0.17945618231953397,0.15869414364237322,0.15251912857690691,0.05207499604895535,0.0,0.05436780955630106,0.6577206103657818,0.5517110406211038,0.1724566753711583,0.15244425777469367,0.14696499333467247,0.046625330938252156
taylor,1607,0.00075,0.05979795682416937,0.6312420266764045,0.5387934513079214,0.18166943627764284,0.16098668151908596,0.15440733368638265,0.038862966676814756,0.00025,0.06077405659483331,0.6122279648172723,0.5249958489988494,0.18243457935391977,0.1617856077622152,0.15498621281569,0.04714845067644753
taylor,1709,0.0,0.06033812854191543,0.6690731998365274,0.5686165803007784,0.17565420646080238,0.15606757850781883,0.14952429648837678,0.05314657612751643,0.0,0.058414359090995245,0.6554871815501818,0.5613232954152666,0.17405635397454394,0.1544271166219268,0.14815014335019447,0.05079909193273605
taylor,1801,0.0,0.052017588749265556,0.6993414708907948,0.5776628531290315,0.17305929402311865,0.1525690424450491,0.1477063968882964,0.05243208461153404,0.0,0.05062451431928887,0.6902517325250503,0.5640180531794219,0.17132813498657803,0.1509027105665224,0.14614232756889028,0.044033426377590584
taylor,1907,0.0,0.059106157957582305,0.602759893489228,0.5067453435929025,0.18296597943792114,0.16196289329997626,0.1556819634411351,0.05886892374935711,0.0,0.05660431000170581,0.6247311234962614,0.5217990830122448,0.1777469366885192,0.1572119452408344,0.15141067548072534,0.04097411987781201
taylor,2003,0.0,0.058727090085479806,0.7117690635988645,0.5678180557798852,0.171351874509231,0.15222360195516274,0.1460601522981684,0.03354047696973477,0.0,0.059001914292754115,0.6928787357243977,0.5521173043659715,0.17249867606508282,0.15322340108227875,0.14688738335676849,0.03369531732541463
fisher,101,0.0,0.06762570838308599,0.6491464192842928,0.5677201263604074,0.1830755464655503,0.16342226523742567,0.1553550884753748,0.030492428236315518,0.0,0.06775838213832186,0.6375388922160669,0.5518106597174464,0.1835375540987199,0.1638285762982171,0.15579609576158215,0.03662324246321385
fisher,211,0.0,0.06119103125414606,0.6562068504424456,0.5670020945144989,0.17710231734263435,0.15741129636054857,0.15075509943207757,0.02428679100224048,0.0,0.0616080059134588,0.649740667634301,0.570700368216191,0.17815416080787422,0.15835479020957738,0.15154854732382533,0.02505389481304026
