source_index,target_index,source_class,target_class,source_family,target_family,transition_type,support,confusion_rate,mean_margin,margin_std,vulnerability_probability,operational_cost,stability,raw_weight,normalized_weight,cost_profile
23,15,Mirai-greeth_flood,DDoS-UDP_Fragmentation,mirai,ddos,cross_family_attack,29454,0.00044136619813947174,10.728247563131752,1.3509810009195777,0.004733545258939328,6.0,1.0,0.015524734371236398,0.00015382465692312692,miss_sensitive
24,23,Mirai-greip_flood,Mirai-greeth_flood,mirai,mirai,same_family_attack,29596,0.026692796323827546,2.0572646219643147,0.896390319726054,0.9821890677555234,2.0,1.0,1.0088818640793509,0.009996364698226488,miss_sensitive
24,4,Mirai-greip_flood,DDoS-ACK_Fragmentation,mirai,ddos,cross_family_attack,29596,0.0045276388701175835,8.50642415020102,1.6908749555726845,0.0015536768684157902,6.0,1.0,0.01824394721560012,0.0001807675966786815,miss_sensitive
24,25,Mirai-greip_flood,Mirai-udpplain,mirai,mirai,same_family_attack,29596,0.004662792269225571,6.996863193012465,1.5088667561007432,0.007029989780549183,2.0,1.0,0.011692782049774754,0.0001158562938516966,miss_sensitive
25,24,Mirai-udpplain,Mirai-greip_flood,mirai,mirai,same_family_attack,28859,0.00034651235316539037,8.155860415318639,1.0501841640116896,0.7163758947892586,2.0,1.0,0.716722407142424,0.007101543623964802,miss_sensitive
25,21,Mirai-udpplain,DoS-UDP_Flood,mirai,dos,cross_family_attack,28859,0.00013860494126615613,9.682023691426338,1.128122538593593,0.15571723180147878,6.0,1.0,0.46756751022823484,0.004632827211685867,miss_sensitive
25,14,Mirai-udpplain,DDoS-UDP_Flood,mirai,ddos,cross_family_attack,28859,0.0,10.390346852761676,1.2669337927461655,0.07668595568332207,6.0,1.0,0.2300578670499662,0.0022794961656151694,miss_sensitive
26,1,Recon-HostDiscovery,BenignTraffic,reconnaissance,benign,attack_to_benign,20030,0.07743384922616076,3.579969396566041,3.370421628310235,0.019598450117296537,12.0,1.0,0.5821937960607437,0.005768585716206657,miss_sensitive
26,29,Recon-HostDiscovery,Recon-PortScan,reconnaissance,reconnaissance,same_family_attack,20030,0.14083874188716924,0.6110773174693837,1.6957342429859756,0.3815884098331926,2.0,1.0,0.5224271517203618,0.005176396288596269,miss_sensitive
26,32,Recon-HostDiscovery,VulnerabilityScan,reconnaissance,reconnaissance,same_family_attack,20030,0.08881677483774339,0.9361923064885886,1.513489022002504,0.2756763623601056,2.0,1.0,0.36449313719784904,0.003611529217799304,miss_sensitive
27,1,Recon-OSScan,BenignTraffic,reconnaissance,benign,attack_to_benign,14475,0.16041450777202074,1.4245271410464933,2.7836093113279023,0.1153272232855161,12.0,1.0,1.6544503863452211,0.01639289001603834,miss_sensitive
27,29,Recon-OSScan,Recon-PortScan,reconnaissance,reconnaissance,same_family_attack,14475,0.26867012089810016,0.07492670316976174,0.4891288734637265,0.44468845931898177,2.0,1.0,0.7133585802170819,0.0070682136158393034,miss_sensitive
27,32,Recon-OSScan,VulnerabilityScan,reconnaissance,reconnaissance,same_family_attack,14475,0.29934369602763383,0.7588588829989672,1.767321877789763,0.22440260128053088,2.0,1.0,0.5237462973081647,0.005189466857961462,miss_sensitive
28,1,Recon-PingSweep,BenignTraffic,reconnaissance,benign,attack_to_benign,339,0.22123893805309736,-1.8295972610996887,1.1057657260483218,0.2967068557073454,12.0,1.0,3.107674762562657,0.030791960284070836,miss_sensitive
28,16,Recon-PingSweep,DNS_Spoofing,reconnaissance,spoofing_mitm,cross_family_attack,339,0.35693215339233036,-0.479053119510676,3.614893692076478,0.07687651951425731,6.0,1.0,1.3014260187197628,0.012894997495822218,miss_sensitive
28,27,Recon-PingSweep,Recon-OSScan,reconnaissance,reconnaissance,same_family_attack,339,0.18289085545722714,-1.7698753910430414,0.7370681563592311,0.27950572167725674,2.0,1.0,0.4623965771344839,0.004581591745100854,miss_sensitive
29,1,Recon-PortScan,BenignTraffic,reconnaissance,benign,attack_to_benign,12036,0.09122632103688934,2.3283708359193134,3.1795671885491283,0.057959938860471114,12.0,1.0,0.8951175593841627,0.008869147013120181,miss_sensitive
29,27,Recon-PortScan,Recon-OSScan,reconnaissance,reconnaissance,same_family_attack,12036,0.08956463941508806,0.07743465523063721,0.42227650323463517,0.5504236438557869,2.0,1.0,0.639988283270875,0.006341234301010653,miss_sensitive
29,32,Recon-PortScan,VulnerabilityScan,reconnaissance,reconnaissance,same_family_attack,12036,0.3401462279827185,0.9449230555126777,2.1005893882027964,0.23118074327613736,2.0,1.0,0.5713269712588558,0.005660913304104638,miss_sensitive
30,32,SqlInjection,VulnerabilityScan,web_application,reconnaissance,cross_family_attack,787,0.758576874205845,-1.6626845445233045,0.7038011529367317,0.4309209703226242,6.0,1.0,3.5684935335854076,0.0353579185582198,miss_sensitive
30,1,SqlInjection,BenignTraffic,web_application,benign,attack_to_benign,787,0.08767471410419314,-0.30901151660739845,1.3270928510198479,0.11130249577161272,12.0,1.0,1.1938632592548353,0.011829226953361105,miss_sensitive
30,27,SqlInjection,Recon-OSScan,web_application,reconnaissance,cross_family_attack,787,0.048284625158831,-0.7444993125741031,0.9557362549570113,0.17204214533587897,6.0,1.0,0.66098031148413,0.006549230873499989,miss_sensitive
31,32,Uploading_Attack,VulnerabilityScan,malware,reconnaissance,cross_family_attack,188,0.7553191489361702,-2.740679310674363,1.3096138583121917,0.31038274211907096,6.0,1.0,3.1971056731657237,0.03167807394069658,miss_sensitive
31,1,Uploading_Attack,BenignTraffic,malware,benign,attack_to_benign,188,0.09042553191489362,-1.6718162149190903,1.3633104908462417,0.1065850323250782,12.0,1.0,1.182063385439831,0.011712309555747386,miss_sensitive
31,16,Uploading_Attack,DNS_Spoofing,malware,spoofing_mitm,cross_family_attack,188,0.09042553191489362,-1.0144299076909715,2.138252866082351,0.05523278924196834,6.0,1.0,0.43697496347058584,0.004329705245353293,miss_sensitive
32,1,VulnerabilityScan,BenignTraffic,reconnaissance,benign,attack_to_benign,29910,0.03804747576061518,1.8557017085692011,1.3024234986411787,0.09696957549224643,12.0,1.0,0.8101023075171697,0.008026785292851215,miss_sensitive
32,29,VulnerabilityScan,Recon-PortScan,reconnaissance,reconnaissance,same_family_attack,29910,0.06756937479103979,0.6671906660060267,1.1405545849793215,0.3182726219216787,2.0,1.0,0.3858419967127185,0.003823061403281283,miss_sensitive
32,27,VulnerabilityScan,Recon-OSScan,reconnaissance,reconnaissance,same_family_attack,29910,0.04690738883316616,0.8286559621931437,1.1116961434692427,0.2708169200915314,2.0,1.0,0.31772430892469755,0.00314812683088676,miss_sensitive
33,32,XSS,VulnerabilityScan,web_application,reconnaissance,cross_family_attack,577,0.6533795493934142,-2.5376705680191,1.3371654709557195,0.27771032545274693,6.0,1.0,2.7932696245384836,0.027676720993339888,miss_sensitive
33,1,XSS,BenignTraffic,web_application,benign,attack_to_benign,577,0.14558058925476602,-1.819383527315262,1.2977504024920479,0.13540787705376117,12.0,1.0,1.6859307978511633,0.016704809265920793,miss_sensitive
33,16,XSS,DNS_Spoofing,web_application,spoofing_mitm,cross_family_attack,577,0.11785095320623917,-1.244158468688588,2.270683719954499,0.07617752535433206,6.0,1.0,0.5820854356817137,0.005767512042562408,miss_sensitive
0,32,Backdoor_Malware,VulnerabilityScan,malware,reconnaissance,cross_family_attack,482,0.6244813278008299,-2.152768418502016,1.202374901979845,0.2755128840976566,6.0,1.0,2.6999826356954593,0.027261879686867517,balanced_soc
0,1,Backdoor_Malware,BenignTraffic,malware,benign,attack_to_benign,482,0.1887966804979253,-1.5495079471362576,1.5679195687639393,0.15071248099891724,10.0,1.0,1.6975458074842127,0.017140217479458215,balanced_soc
0,27,Backdoor_Malware,Recon-OSScan,malware,reconnaissance,cross_family_attack,482,0.03319502074688797,-1.514632807480349,1.3768103058087142,0.14554695985916052,6.0,1.0,0.5362259418181454,0.005414304120907086,balanced_soc
1,27,BenignTraffic,Recon-OSScan,benign,reconnaissance,benign_to_attack,29940,0.11396125584502338,0.15606365554524945,0.8332721838928554,0.24074910018082693,6.0,1.0,1.0641310680775509,0.010744592489394137,balanced_soc
1,22,BenignTraffic,MITM-ArpSpoofing,benign,spoofing_mitm,benign_to_attack,29940,0.23102872411489647,1.777179526242147,3.3237178815302375,0.047590798913107545,6.0,1.0,0.8358585690840121,0.00843971196123493,balanced_soc
1,29,BenignTraffic,Recon-PortScan,benign,reconnaissance,benign_to_attack,29940,0.06212424849699399,0.48703450645465074,1.0351897853350214,0.17291228835423644,6.0,1.0,0.7051096105536914,0.007119532220257186,balanced_soc
2,32,BrowserHijacking,VulnerabilityScan,malware,reconnaissance,cross_family_attack,868,0.4539170506912442,-1.3405208394000059,1.9033156118871035,0.20277240897646212,6.0,1.0,1.970068379003119,0.01989189353043789,balanced_soc
2,1,BrowserHijacking,BenignTraffic,malware,benign,attack_to_benign,868,0.19815668202764977,-1.262449050004581,1.6617041955568856,0.18754380084840128,10.0,1.0,1.9285024143802554,0.01947219959921184,balanced_soc
2,27,BrowserHijacking,Recon-OSScan,malware,reconnaissance,cross_family_attack,868,0.12557603686635946,-1.3494111600284753,1.5561465514370139,0.20458315784944753,6.0,1.0,0.990477584147421,0.010000909033480122,balanced_soc
3,16,CommandInjection,DNS_Spoofing,web_application,spoofing_mitm,cross_family_attack,808,0.8292079207920792,-3.6531627656209587,2.521963802797123,0.794022307804893,6.0,1.0,4.869690685790917,0.04916954643824808,balanced_soc
3,32,CommandInjection,VulnerabilityScan,web_application,reconnaissance,cross_family_attack,808,0.13613861386138615,-0.890735594795482,1.5060993062565229,0.05013324623433835,6.0,1.0,0.5588155802871735,0.005642392997469009,balanced_soc
3,1,CommandInjection,BenignTraffic,web_application,benign,attack_to_benign,808,0.02599009900990099,-0.7004368851090422,1.888324272090855,0.04144576378737801,10.0,1.0,0.33717931398639495,0.0034045188918149913,balanced_soc
4,24,DDoS-ACK_Fragmentation,Mirai-greip_flood,ddos,mirai,cross_family_attack,29898,0.0008696233861796776,6.585007798279781,1.2384711787319114,0.4558334522743095,6.0,1.0,1.3701092269814676,0.013834071526987726,balanced_soc
4,20,DDoS-ACK_Fragmentation,DoS-TCP_Flood,ddos,dos,cross_family_attack,29898,0.0,8.287234664401412,0.9451261322607154,0.08308802935792378,6.0,1.0,0.24926408807377134,0.0025168338082935658,balanced_soc
4,18,DDoS-ACK_Fragmentation,DoS-HTTP_Flood,ddos,dos,cross_family_attack,29898,0.0005351528530336477,8.527623516999306,1.368503303060878,0.06533394859832144,6.0,1.0,0.19760730435406523,0.0019952522973019494,balanced_soc
