method,regime,seed,epoch,eval_b2a,eval_family_f1,eval_fine_f1,eval_a2b,eval_awbir,eval_hsr,eval_ece,batch_b2a,batch_family_f1
magnitude,full_ce,401,2,0.002,0.5617648419951694,0.4857292431178224,0.06429938780538655,0.09887367460986284,0.19346797903617538,0.2240608315772677,0.0015,0.6210933526059339
magnitude,full_ce,401,3,0.00025,0.5528079758150406,0.4853110629897865,0.05123102291465287,0.1238154842801667,0.18391921257829477,0.23749289658083558,0.00025,0.6144148373997145
magnitude,full_ce,401,4,0.02,0.6120433861870804,0.5032442896435073,0.05420670571065749,0.06687592158939885,0.18787823450996147,0.19901744475911604,0.00025,0.639591569248818
magnitude,full_ce,401,5,0.00025,0.5946877370609891,0.4942082190938089,0.0645173518318455,0.09608533422382404,0.19243074450795275,0.24982139098729444,0.0,0.645198944511852
magnitude,full_ce,401,6,0.0005,0.6515021801331438,0.5344270034642096,0.06699076969731431,0.0976155481951245,0.19082558755318565,0.2390690155124808,0.0,0.6616574236663164
magnitude,full_ce,503,1,0.00075,0.6037655115796723,0.49645279921599617,0.06679175906446048,0.0695311897267448,0.19880937163309656,0.22637706605557184,0.00125,0.6381607319669557
magnitude,full_ce,503,2,0.0005,0.590403340062769,0.5206781174562146,0.06149428555182806,0.07386800952006815,0.1927868373477475,0.21911681322765972,0.00075,0.6431997035852411
magnitude,full_ce,503,3,0.0005,0.5932742584013214,0.5044948014618056,0.06162695930706393,0.06875424501370034,0.18802249776300653,0.22693870104715727,0.0005,0.6381870975876759
magnitude,full_ce,503,4,0.0005,0.5826209649022175,0.49964196377908054,0.04812266636341237,0.17355454746844262,0.17989627654717774,0.20504293515285424,0.0,0.6593037102602775
magnitude,full_ce,503,5,0.00025,0.5598392288395311,0.48043981616272946,0.0600917344250488,0.1647113997560386,0.19092602399517905,0.24911494407933504,0.0,0.6220287955847646
magnitude,full_ce,503,6,0.00025,0.5518267775073702,0.48560006007890805,0.05517332878451887,0.08610616364197927,0.18948156534760138,0.23784982873190494,0.0005,0.6297387933806543
taylor,minimal_ce,101,1,0.0005,0.5570993490683511,0.517096876142067,0.05418775231705237,0.10546786000914538,0.17697814137798798,0.14718586246930954,0.00075,0.6368511130852341
taylor,minimal_ce,211,1,0.00225,0.5956968948986483,0.5486422477435804,0.05597884801273668,0.0615375340264618,0.17384452438779424,0.1332368600459431,0.00125,0.6721319122128508
taylor,minimal_ce,307,1,0.00075,0.5781969268339052,0.5217831556674967,0.043592805291787495,0.10089522629245326,0.16771424919194317,0.13437687099812037,0.00075,0.6608041780210535
taylor,minimal_ce,401,1,0.0015,0.5919507172107782,0.5319356675021681,0.04564924849794356,0.08598348427504754,0.17172622852029729,0.13593792186340523,0.0005,0.6479310053082933
taylor,minimal_ce,503,1,0.00075,0.5860092414240184,0.5224540512744856,0.04861545459714562,0.08758028348025532,0.178115812348204,0.16225201754466456,0.00025,0.6351592066398765
taylor,full_ce,101,1,0.0005,0.5937828331499526,0.5191305017272565,0.05528704914614962,0.0864827921020577,0.17889921659575245,0.1959239823113528,0.0005,0.6443914914985427
taylor,full_ce,101,2,0.0015,0.5550769408793887,0.5128624909675837,0.05177119463239893,0.14963978578596498,0.18848450539617612,0.19388719008296648,0.0,0.6061519879707478
taylor,full_ce,101,3,0.0,0.5805992829164017,0.5102995571374862,0.05347700005686018,0.09376784546116826,0.17924252661565715,0.21007782004429104,0.0,0.6260824631313004
taylor,full_ce,101,4,0.00025,0.5593069858072441,0.4891970833110979,0.0488997555012225,0.17262293362455752,0.17777980679680794,0.21305813181778843,0.0,0.6249102892220058
