group_id,module_path,layer_index,channel_index,out_channels,in_channels,kernel_size,parameter_cost,flops_cost,batchnorm_path,downstream_path,downstream_kind,random,magnitude,taylor,fisher,bn_gamma
conv.3:out:51,conv.3,1,51,128,64,3,229,15812.0,conv.5,head,linear_in,0.8566142840923755,13.539020001888275,1.592707744240761,0.0410964563023299,2.1729860305786133
conv.3:out:52,conv.3,1,52,128,64,3,229,15812.0,conv.5,head,linear_in,0.7585195298352101,13.790391048416495,1.3541643832577392,0.030661442442305998,2.0104382038116455
conv.3:out:53,conv.3,1,53,128,64,3,229,15812.0,conv.5,head,linear_in,0.7194629559509368,13.616883368697017,0.2996084319167494,0.0014693151254978778,2.36806583404541
conv.3:out:54,conv.3,1,54,128,64,3,229,15812.0,conv.5,head,linear_in,0.4320930397751037,13.20451326109469,0.20307812568905775,0.0005652555051609864,2.3635151386260986
conv.3:out:55,conv.3,1,55,128,64,3,229,15812.0,conv.5,head,linear_in,0.6273088407024432,12.483545890077949,0.056019930767070035,4.6178949074171524e-05,1.5934019088745117
conv.3:out:56,conv.3,1,56,128,64,3,229,15812.0,conv.5,head,linear_in,0.5840979689127356,17.88240620493889,0.19488945495686494,0.0017549603530142121,1.7329939603805542
conv.3:out:57,conv.3,1,57,128,64,3,229,15812.0,conv.5,head,linear_in,0.64984660155482,12.941325068473816,0.5479225635994226,0.004112251407059375,2.122471570968628
conv.3:out:58,conv.3,1,58,128,64,3,229,15812.0,conv.5,head,linear_in,0.08444432113988909,13.634212017059326,2.89088928909041,0.11837851595046231,2.2172274589538574
conv.3:out:59,conv.3,1,59,128,64,3,229,15812.0,conv.5,head,linear_in,0.41580740217060963,14.265048801898956,1.4086544185876846,0.029756803321652113,1.654981255531311
conv.3:out:60,conv.3,1,60,128,64,3,229,15812.0,conv.5,head,linear_in,0.04161417386189248,12.674085766077042,1.3752067035064102,0.026783852068183477,2.1863858699798584
conv.3:out:61,conv.3,1,61,128,64,3,229,15812.0,conv.5,head,linear_in,0.49399081924451893,14.286986365914345,2.9218674496747554,0.12138115847192239,2.332667350769043
conv.3:out:62,conv.3,1,62,128,64,3,229,15812.0,conv.5,head,linear_in,0.3298612123327853,13.567643098533154,1.2115226490423083,0.023870655696373432,2.4807846546173096
conv.3:out:63,conv.3,1,63,128,64,3,229,15812.0,conv.5,head,linear_in,0.1445241888660469,13.231003429740667,0.23219363974640145,0.0007162946606513287,2.0423545837402344
conv.3:out:64,conv.3,1,64,128,64,3,229,15812.0,conv.5,head,linear_in,0.10340296772255164,14.46703027188778,2.775644975528121,0.10887562729622005,1.9148787260055542
conv.3:out:65,conv.3,1,65,128,64,3,229,15812.0,conv.5,head,linear_in,0.587644572177712,13.574287049472332,0.6302620225585998,0.005377635808144987,2.0209362506866455
conv.3:out:66,conv.3,1,66,128,64,3,229,15812.0,conv.5,head,linear_in,0.1705929685368861,13.72117169201374,0.5386376233771444,0.005671479416196235,2.113102674484253
conv.3:out:67,conv.3,1,67,128,64,3,229,15812.0,conv.5,head,linear_in,0.9251201183767972,13.463742602616549,0.7563553539104759,0.009154133479751182,1.8706395626068115
conv.3:out:68,conv.3,1,68,128,64,3,229,15812.0,conv.5,head,linear_in,0.581061139700395,13.903084117919207,2.7196787882363425,0.11241451803484778,2.265773057937622
