architecture,normalisation,metric,contrast,mean,ci_lo,ci_hi,half_width,p,p_holm,significant_holm
shallow,trained,b2a,taylor-saber_v2,-0.0032874999999999996,-0.01117144607117061,0.004596446071170609,0.007883946071170609,0.393688729636116,1.0,False
shallow,trained,b2a,fisher-saber_v2,-0.0042375,-0.014304926449597079,0.005829926449597079,0.01006742644959708,0.38933773890221235,1.0,False
shallow,trained,family_f1,random-magnitude,-0.003158210895496455,-0.012128527281418314,0.005812105490425405,0.00897031638592186,0.4701864593614713,1.0,False
shallow,trained,family_f1,random-taylor,-0.010700977792114564,-0.025636346010533655,0.0042343904263045275,0.014935368218419091,0.15014580560697507,1.0,False
shallow,trained,family_f1,random-fisher,-0.01694761814074927,-0.03218450111468442,-0.001710735166814123,0.015236882973935148,0.03110984385177619,0.2799885946659857,False
shallow,trained,family_f1,random-saber_v2,-0.006169313012489341,-0.02056523529689661,0.008226609271917928,0.014395922284407269,0.3809668770015944,1.0,False
shallow,trained,family_f1,magnitude-taylor,-0.007542766896618108,-0.018219490222293962,0.003133956429057747,0.010676723325675855,0.1556204148967662,1.0,False
shallow,trained,family_f1,magnitude-fisher,-0.013789407245252816,-0.02459492716930459,-0.0029838873212010425,0.010805519924051774,0.015103836654028802,0.15103836654028802,False
shallow,trained,family_f1,magnitude-saber_v2,-0.0030111021169928866,-0.013434195024367712,0.007411990790381938,0.010423092907374825,0.5525655732937963,1.0,False
shallow,trained,family_f1,taylor-fisher,-0.006246640348634707,-0.018153376232150548,0.005660095534881135,0.011906735883515842,0.28589720726174844,1.0,False
shallow,trained,family_f1,taylor-saber_v2,0.0045316647796252215,-0.007848493344664,0.016911822903914443,0.012380158124289222,0.4530093538680615,1.0,False
shallow,trained,family_f1,fisher-saber_v2,0.010778305128259929,-0.004794528442895208,0.026351138699415064,0.015572833571155137,0.16374456948588523,1.0,False
shallow,recal,awbir,random-magnitude,-0.0027157941710490878,-0.006342851786467332,0.0009112634443691563,0.003627057615418244,0.13357836642449475,0.2671567328489895,False
shallow,recal,awbir,random-taylor,0.005103547749181906,0.0019430861220472708,0.00826400937631654,0.003160461627134635,0.003144599249652944,0.009433797748958831,True
shallow,recal,awbir,random-fisher,0.012963472984234165,0.009491813245930025,0.016435132722538305,0.0034716597383041407,2.365820893367093e-07,2.129238804030384e-06,True
shallow,recal,awbir,random-saber_v2,0.013620052717582811,0.008426284880561154,0.01881382055460447,0.005193767837021657,2.70073687502016e-05,0.000135036843751008,True
shallow,recal,awbir,magnitude-taylor,0.007819341920230996,0.004986505509573367,0.010652178330888626,0.0028328364106576295,1.4451191596452892e-05,0.00011560953277162313,True
shallow,recal,awbir,magnitude-fisher,0.015679267155283252,0.012479238057862361,0.018879296252704143,0.0032000290974208913,3.501435697764997e-09,3.501435697764997e-08,True
shallow,recal,awbir,magnitude-saber_v2,0.0163358468886319,0.010250621278641063,0.022421072498622734,0.006085225609990836,2.035097832313611e-05,0.00012210586993881666,True
shallow,recal,awbir,taylor-fisher,0.00785992523505226,0.004983659006987326,0.010736191463117193,0.002876266228064933,1.636329921627103e-05,0.00011560953277162313,True
shallow,recal,awbir,taylor-saber_v2,0.008516504968400904,0.0037600565406077785,0.01327295339619403,0.0047564484277931255,0.0013634332269795292,0.005453732907918117,True
shallow,recal,awbir,fisher-saber_v2,0.0006565797333486452,-0.004087318533136456,0.005400477999833746,0.004743898266485101,0.7751946561441768,0.7751946561441768,False
shallow,recal,hsr_balanced,random-magnitude,-0.008306185058709658,-0.010601212702720172,-0.0060111574146991436,0.002295027644010514,3.733211161111758e-07,2.9865689288894065e-06,True
shallow,recal,hsr_balanced,random-taylor,-0.003467248589324505,-0.005791460888016698,-0.0011430362906323117,0.0023242122986921934,0.005608288403007342,0.02243315361202937,True
shallow,recal,hsr_balanced,random-fisher,0.0014448238710030926,-0.0005383842096025001,0.0034280319516086853,0.0019832080806055927,0.14377525908055389,0.14377525908055389,False
shallow,recal,hsr_balanced,random-saber_v2,0.0037964975073501244,0.0005890718545627431,0.007003923160137506,0.0032074256527873813,0.022798400639437586,0.06839520191831276,False
shallow,recal,hsr_balanced,magnitude-taylor,0.0048389364693851526,0.002454067897566416,0.007223805041203889,0.0023848685718187365,0.0004362052882042203,0.0021810264410211016,True
shallow,recal,hsr_balanced,magnitude-fisher,0.00975100892971275,0.008037265341262015,0.011464752518163484,0.001713743588450735,2.9457400661149936e-10,2.9457400661149935e-09,True
shallow,recal,hsr_balanced,magnitude-saber_v2,0.012102682566059782,0.009706113833888775,0.01449925129823079,0.0023965687321710082,2.1399478062281253e-09,1.9259530256053127e-08,True
shallow,recal,hsr_balanced,taylor-fisher,0.004912072460327597,0.0028674629350096555,0.006956681985645538,0.0020446095253179417,7.461984936705588e-05,0.0005223389455693911,True
shallow,recal,hsr_balanced,taylor-saber_v2,0.00726374609667463,0.00418577659207839,0.01034171560127087,0.00307796950459624,9.104210147958171e-05,0.0005462526088774902,True
shallow,recal,hsr_balanced,fisher-saber_v2,0.002351673636347032,0.00017375566889271405,0.0045295916038013495,0.0021779179674543177,0.03575782172308229,0.07151564344616458,False
shallow,recal,b2a,random-magnitude,0.0018375000000000002,-0.004213470259543819,0.00788847025954382,0.00605097025954382,0.5326255228613578,1.0,False
shallow,recal,b2a,random-taylor,0.010275,0.004936668287388354,0.015613331712611644,0.005338331712611645,0.0007177939661148948,0.007177939661148948,True
shallow,recal,b2a,random-fisher,0.006325,-0.000831737357330711,0.01348173735733071,0.007156737357330711,0.07996267486565367,0.44889623512646104,False
