method,seed,parameters,raw_awbir,raw_hsr_balanced,trained_b2a,trained_a2b,trained_family_f1,trained_fine_f1,trained_awbir,trained_hsr_balanced,recal_b2a,recal_a2b,recal_family_f1,recal_fine_f1,recal_awbir,recal_hsr_balanced
fisher,1013,100583,0.11886500845455036,0.14292102300144766,0.071,0.01970087674058793,0.8081617741369245,0.6959956971919675,0.09938202668999366,0.13532250281486247,0.0665,0.020405707409317516,0.8034773394368447,0.6945540308551962,0.10939157784690133,0.13766446839311566
fisher,1109,100583,0.11886500845455036,0.14292102300144766,0.0625,0.021798177754856454,0.7918189111514683,0.6902087645754614,0.14930531252302162,0.14097796364806175,0.0645,0.021488739900292247,0.8122413602410329,0.7310527635924661,0.08033430759209807,0.12526942255106965
fisher,1201,100583,0.11886500845455036,0.14292102300144766,0.055,0.02300154718927282,0.7926931264411051,0.6880549098477198,0.14874519153343005,0.14368666559433813,0.05825,0.021935705690218327,0.7955921999265949,0.6902041310886337,0.14422673352061513,0.1421811162940325
fisher,1303,100583,0.11886500845455036,0.14292102300144766,0.0545,0.025064466219700876,0.7937619211667294,0.685146084572394,0.1758856446177588,0.14318481582756956,0.04475,0.027488396080453843,0.7913312620373834,0.691616373951581,0.16012692163853673,0.1438442978928744
fisher,1409,100583,0.11886500845455036,0.14292102300144766,0.051,0.023225030084235862,0.7828972678180014,0.6713763847652818,0.1751261492465208,0.1488949654174039,0.048,0.02417053463984872,0.7907985298974832,0.6836197984975678,0.15438942340157777,0.143001447643558
fisher,1511,100583,0.11886500845455036,0.14292102300144766,0.05225,0.023620422898401237,0.821262976650221,0.7409258684429346,0.045526896998233354,0.12027022679749075,0.0535,0.02300154718927282,0.8176449574975694,0.7389635102271633,0.04969224724663866,0.12155058709988739
fisher,1607,100583,0.11886500845455036,0.14292102300144766,0.06025,0.021609076843733883,0.8038816808762655,0.7065939961167891,0.1139301527948481,0.1348624738619913,0.064,0.02253739040742651,0.8019199637256325,0.7105482334567355,0.10779192044004852,0.13546405018497668
fisher,1709,100583,0.11886500845455036,0.14292102300144766,0.051,0.023156266116554924,0.8033403831010218,0.7028710366833525,0.1077849458475063,0.1385234035708541,0.0545,0.022468626439745572,0.8248888163403935,0.7326445277061711,0.04889307624917932,0.12341965578253178
fisher,1801,100583,0.11886500845455036,0.14292102300144766,0.0475,0.025201994155062746,0.814693591176303,0.7159385539086811,0.11091682823297801,0.13203152645970725,0.0475,0.025012893243940175,0.8181594389453983,0.7213923543385203,0.09687038683535815,0.1282419173234679
fisher,1907,100583,0.11886500845455036,0.14292102300144766,0.048,0.02449716348633316,0.7879965948072819,0.697600437166933,0.10394220030777584,0.14383786392150555,0.0465,0.025150421179302045,0.8108179949996135,0.7372309328024288,0.04356980539131566,0.12639215055493003
fisher,2003,100583,0.11886500845455036,0.14292102300144766,0.0575,0.022881210245831184,0.7834456503383916,0.6766717091100718,0.1609740095334743,0.14496702589673477,0.05625,0.022571772391266978,0.8060717687387983,0.7132181976308978,0.10198258312237912,0.12956088145407754
saber_v2,101,97117,0.13502759638242082,0.15262023483995496,0.0415,0.028451091627986935,0.7957305915870913,0.6972605785551079,0.10315798636809762,0.14270870194627633,0.04325,0.02747120508853361,0.790093458596988,0.6897721588359836,0.12089842933578425,0.146337461798295
saber_v2,211,97117,0.13502759638242082,0.15262023483995496,0.0485,0.02485817431665807,0.819459248128848,0.7240380671995948,0.08639417971561925,0.12698085893517774,0.04525,0.02616468970259584,0.8130677765507012,0.7182429286001322,0.08387672648877656,0.13261380086858615
