arch,seed,dose,class,M0_test_recall,compressed_test_recall,recall_loss,validation_2sd_band,material_and_beyond_band
cnn1d,1,0.0,DoS-TCP_Flood,0.5335989661856558,0.7873142364850312,-0.25371527029937535,0.2643813212009498,False
cnn1d,1,0.0,DDoS-PSHACK_Flood,0.9982915717539863,0.9986539656243528,-0.0003623938703665175,0.11038504026051069,False
cnn1d,1,0.0,DDoS-SYN_Flood,0.19389468328669549,0.12602391249046044,0.06787077079623505,0.5238379149660953,False
cnn1d,1,0.0,Recon-HostDiscovery,0.7121817274088866,0.7129306040938592,-0.0007488766849725881,0.05981364338037638,False
cnn1d,1,0.0,DoS-SYN_Flood,0.19641044569530314,0.19128910215004152,0.005121343545261614,0.1338491875766533,False
cnn1d,1,0.0,DoS-UDP_Flood,0.7169625246548323,0.7859512282589206,-0.06898870360408826,0.013090549202921372,False
cnn1d,1,0.0,DNS_Spoofing,0.5719643335501894,0.5209521258275611,0.05101220772262827,0.09199911478240713,False
cnn1d,1,0.0,MITM-ArpSpoofing,0.08582863380025468,0.13087138439148627,-0.045042750591231584,0.07459414892841161,False
cnn1d,1,0.0,Mirai-udpplain,0.9916493416493416,0.989015939015939,0.002633402633402615,0.0030144583209302193,False
cnn1d,1,0.0,Mirai-greeth_flood,0.9844848073332202,0.9800033950093363,0.004481412323883882,0.015483301867355035,False
cnn1d,1,0.0,Mirai-greip_flood,0.9848966076496823,0.9801662386809028,0.004730368968779541,0.01286645097872988,False
cnn1d,1,0.0,DDoS-UDP_Fragmentation,0.990928870292887,0.9890543933054393,0.001874476987447693,0.001461089802842454,False
cnn1d,1,0.0,DDoS-ACK_Fragmentation,0.8943407585791692,0.9224697304167503,-0.028128971837581118,0.0004267613327376908,False
cnn1d,1,0.0,VulnerabilityScan,0.7219993313273153,0.6871280508191241,0.034871280508191216,0.08585360693926365,False
cnn1d,1,0.0,DDoS-ICMP_Fragmentation,0.9700614808874632,0.9706629243517776,-0.000601443464314344,0.0009734754201886736,False
cnn1d,1,0.0,BenignTraffic,0.7721184997161084,0.6540863698607261,0.11803212985538225,0.08575705286341911,True
cnn1d,1,0.2,Uploading_Attack,0.07446808510638298,0.0,0.07446808510638298,0.02854554864893348,False
cnn1d,1,0.2,Recon-PingSweep,0.0029411764705882353,0.0,0.0029411764705882353,0.0,False
cnn1d,1,0.2,Backdoor_Malware,0.037267080745341616,0.0,0.037267080745341616,0.03750541589535823,False
cnn1d,1,0.2,XSS,0.03119584055459272,0.0,0.03119584055459272,0.014908709301633669,False
cnn1d,1,0.2,SqlInjection,0.06861499364675985,0.0,0.06861499364675985,0.030357587108549838,False
cnn1d,1,0.2,CommandInjection,0.018541409147095178,0.003708281829419036,0.014833127317676142,0.032744446919116224,False
cnn1d,1,0.2,BrowserHijacking,0.01611047180667434,0.004602991944764097,0.011507479861910242,0.02777429715263441,False
cnn1d,1,0.2,DictionaryBruteForce,0.4433673469387755,0.4188775510204082,0.024489795918367308,0.050344329023276055,False
