attacker_seeds,held_out_seed,recipe,strategy,n_types,misattribution_rate,attack_to_benign_rate,cross_family_rate,wrong_family_or_benign_rate,n_flows
"(1, 2, 3)",4,dense,blind_spot_set,4,0.19911039145967807,0.02456071865371268,0.11312902160689997,0.13768974026061265,85022
"(1, 2, 4)",0,default_layerwise80,random_over_detectable,19,0.3636923951266629,0.0018844536241280278,0.20025919392998742,0.20214364755411546,400823
"(1, 2, 4)",0,default_layerwise80,blind_spot_set,4,0.3035320149407973,0.0023069207622868604,0.255383462934512,0.25769038369679886,88321
"(1, 2, 4)",3,default_layerwise80,random_over_detectable,19,0.35031542781584674,0.051681614549436504,0.17547366805711495,0.22715528260655146,400823
"(1, 2, 4)",3,default_layerwise80,blind_spot_set,4,0.597101603120026,0.08329461713500101,0.26286938674389076,0.3461640038788918,88321
"(1, 2, 4)",0,protect_conv0,random_over_detectable,19,0.1962960998581123,0.008724060202487213,0.13564927177810213,0.14437333198058933,400823
"(1, 2, 4)",0,protect_conv0,blind_spot_set,4,0.33157153380325644,0.013640922768304914,0.2524362844992128,0.2660772072675177,88321
"(1, 2, 4)",3,protect_conv0,random_over_detectable,19,0.1672860831966167,0.016401169123815583,0.09954964868289579,0.11595081780671139,400823
"(1, 2, 4)",3,protect_conv0,blind_spot_set,4,0.21599859232610294,0.033913139368367776,0.14958182432363892,0.1834949636920067,88321
"(1, 2, 4)",0,global80,random_over_detectable,19,0.1622736860062639,0.008376716625318064,0.11454971757591981,0.12292643420123789,400823
"(1, 2, 4)",0,global80,blind_spot_set,4,0.2929501372685155,0.018839852892009363,0.20857781877164772,0.22741767166365706,88321
"(1, 2, 4)",3,global80,random_over_detectable,19,0.18286557590258473,0.019542216386095657,0.11383113911154757,0.13337335549764326,400823
"(1, 2, 4)",3,global80,blind_spot_set,4,0.23846120612212932,0.04005833051393916,0.1625013388371492,0.20255966935108838,88321
"(1, 2, 4)",0,dense,random_over_detectable,19,0.17615393247818786,0.014490562032329287,0.09758945383403314,0.11208001586636245,400823
"(1, 2, 4)",0,dense,blind_spot_set,4,0.1832470976943852,0.03132203271507456,0.12182050402800547,0.15314253674308004,88321
"(1, 2, 4)",3,dense,random_over_detectable,19,0.17188696964650907,0.015962512662843237,0.08656696029830377,0.10252947296114702,400823
"(1, 2, 4)",3,dense,blind_spot_set,4,0.18624695204063435,0.032186470506050155,0.11562073049777327,0.14780720100382344,88321
