set_id,architecture,budget,target,observed,additive_prediction,interaction_residual
shallow_b40_s22447,shallow,0.4,raw_fine_f1_loss,0.4823195665308305,0.5013772934099304,-0.0190577268790999
shallow_b40_s22449,shallow,0.4,raw_fine_f1_loss,0.4854825142110634,0.5021549809796083,-0.01667246676854489
shallow_b40_s22451,shallow,0.4,raw_fine_f1_loss,0.38903564344797215,0.48547404656030846,-0.09643840311233631
shallow_b40_s22453,shallow,0.4,raw_fine_f1_loss,0.42304002094068854,0.47810242042243,-0.055062399481741464
shallow_b40_s22455,shallow,0.4,raw_fine_f1_loss,0.4518736544933379,0.4843312796516163,-0.032457625158278436
shallow_b40_s22457,shallow,0.4,raw_fine_f1_loss,0.4361808332045888,0.4848074001112269,-0.048626566906638136
shallow_b40_s22459,shallow,0.4,raw_fine_f1_loss,0.4637026135265529,0.4975248303113897,-0.03382221678483682
shallow_b40_s22461,shallow,0.4,raw_fine_f1_loss,0.46481421737373774,0.4815929833555921,-0.01677876598185435
shallow_b40_s22463,shallow,0.4,raw_fine_f1_loss,0.5361160407831468,0.4973662179003131,0.038749822882833684
shallow_b40_s22465,shallow,0.4,raw_fine_f1_loss,0.4782010541412679,0.5024955767976628,-0.024294522656394868
shallow_b40_s22427,shallow,0.4,raw_family_f1_loss,0.3197115359527831,0.3676190091609469,-0.0479074732081638
shallow_b40_s22429,shallow,0.4,raw_family_f1_loss,0.35039829487657503,0.3759473860715931,-0.02554909119501808
shallow_b40_s22431,shallow,0.4,raw_family_f1_loss,0.23849252380817298,0.34449743060033633,-0.10600490679216334
shallow_b40_s22433,shallow,0.4,raw_family_f1_loss,0.3958856800429852,0.3925210634058655,0.0033646166371196773
shallow_b40_s22435,shallow,0.4,raw_family_f1_loss,0.22704097694747788,0.34733132422225843,-0.12029034727478055
shallow_b40_s22437,shallow,0.4,raw_family_f1_loss,0.31884376661654074,0.38160257206956616,-0.06275880545302542
shallow_b40_s22439,shallow,0.4,raw_family_f1_loss,0.4607571022423671,0.39994766837430584,0.06080943386806126
shallow_b40_s22441,shallow,0.4,raw_family_f1_loss,0.44953227808531426,0.4016249190830145,0.047907359002299754
shallow_b40_s22443,shallow,0.4,raw_family_f1_loss,0.44103287941999236,0.3764562380163965,0.06457664140359587
shallow_b40_s22445,shallow,0.4,raw_family_f1_loss,0.29475151961942303,0.3439758668777538,-0.04922434725833075
shallow_b40_s22447,shallow,0.4,raw_family_f1_loss,0.28949740208461777,0.4080601641946836,-0.11856276211006583
shallow_b40_s22449,shallow,0.4,raw_family_f1_loss,0.3658664931477462,0.42187760125603213,-0.05601110810828591
shallow_b40_s22451,shallow,0.4,raw_family_f1_loss,0.20568305135208292,0.36520836134576146,-0.15952530999367853
shallow_b40_s22453,shallow,0.4,raw_family_f1_loss,0.3134463670267916,0.3340419874112398,-0.020595620384448232
shallow_b40_s22455,shallow,0.4,raw_family_f1_loss,0.28415928948442337,0.3653360860203021,-0.08117679653587873
shallow_b40_s22457,shallow,0.4,raw_family_f1_loss,0.3100030968422579,0.3684378874175749,-0.058434790575316975
shallow_b40_s22459,shallow,0.4,raw_family_f1_loss,0.26729304730491,0.3998400067074795,-0.1325469594025695
shallow_b40_s22461,shallow,0.4,raw_family_f1_loss,0.34686405922719377,0.33755759423751475,0.00930646498967902
shallow_b40_s22463,shallow,0.4,raw_family_f1_loss,0.4589094918162559,0.4004794534142975,0.05843003840195837
shallow_b40_s22465,shallow,0.4,raw_family_f1_loss,0.4038407736215349,0.4143066961562257,-0.010465922534690753
shallow_b55_s22577,shallow,0.55,raw_awbir,0.415916129250681,0.4377940388007543,-0.021877909550073293
shallow_b55_s22579,shallow,0.55,raw_awbir,0.38315671034762383,0.4521754778896814,-0.06901876754205755
shallow_b55_s22581,shallow,0.55,raw_awbir,0.38865624915748304,0.43855679212998955,-0.04990054297250651
shallow_b55_s22583,shallow,0.55,raw_awbir,0.3476872709042041,0.4517001818843902,-0.10401291098018611
shallow_b55_s22585,shallow,0.55,raw_awbir,0.5164119178490667,0.4559096868259131,0.06050223102315361
shallow_b55_s22587,shallow,0.55,raw_awbir,0.5563300880931664,0.4911503506826471,0.0651797374105193
