group_id,module_path,layer_index,channel_index,out_channels,in_channels,kernel_size,parameter_cost,flops_cost,batchnorm_path,downstream_path,downstream_kind,random,magnitude,taylor,fisher,bn_gamma,r_sbl,profile_min,profile_mean,profile_max,profile_aggregation,profile_cvar_q,v_c,selection_priority,protected,selected_for_pruning,selection_order
conv.0:out:40,conv.0,0,40,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.4371519188723307,0.6248319633305073,0.7335599148645997,0.3710559637867845,0.8990232944488525,0.0005076297249055,0.0005030419421859,0.0005059085020275,0.0005076297249055,cvar,0.75,0.4938818168690256,1.3775506361389384e-05,False,False,
conv.0:out:41,conv.0,0,41,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.8326781960578374,1.6475170254707336,0.871083976700902,0.2830269355326891,0.7012639045715332,0.0009993295714575,0.0009873431153525,0.0009951555428823,0.0009993295714575,cvar,0.75,1.010212807232098,2.623930787350594e-05,False,False,
conv.0:out:42,conv.0,0,42,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.7002651020022491,0.943177491426468,2.5273754306137564,5.437041534204036,0.8601136207580566,0.0015814926742978,0.0015722466036114,0.0015759398421799,0.0015814926742978,cvar,0.75,1.234704542172564,2.2066713997675967e-05,False,False,
conv.0:out:43,conv.0,0,43,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.312366641382041,1.0639359951019287,1.8110647685825825,1.2499951653182506,1.392758011817932,0.0016848661854736,0.0016745549321396,0.0016813521258917,0.0016848661854736,cvar,0.75,1.2796028891606572,9.843279806580987e-06,False,True,38.0
conv.0:out:44,conv.0,0,44,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.8322598013952011,1.1749195158481598,2.56187651604414,5.165336988866329,0.6462842226028442,0.000597733310285,0.000588415273918,0.0005920782826012,0.000597733310285,cvar,0.75,0.5612293373511654,2.6226123444734387e-05,False,False,
conv.0:out:45,conv.0,0,45,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.8047643574968019,0.6116492599248886,0.1108817224390804,0.0044415658661819,1.2208250761032104,0.0001904138235872,0.0001859321944157,0.0001883633849046,0.0001904138235872,cvar,0.75,0.0673475204821398,2.5359688583122263e-05,False,False,
conv.0:out:46,conv.0,0,46,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.3874783790301744,1.2607246339321136,0.339607991091907,0.0778903336584335,0.9873102903366088,0.0003692002646255,0.0003518654303328,0.0003592880294382,0.0003692002646255,cvar,0.75,0.3142884289166526,1.2210196603963395e-05,False,False,
conv.0:out:47,conv.0,0,47,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.2883281039302441,1.142763465642929,0.634453272819519,0.1601979099679738,0.6117786765098572,0.000197234004231,0.000194793142306,0.0001963066416425,0.000197234004231,cvar,0.75,0.1122458674702331,9.08577878396181e-06,False,True,35.0
conv.0:out:48,conv.0,0,48,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.6824955039749755,1.4063764959573746,1.983818143606186,1.4524422854185104,0.7445203065872192,0.0006832766597686,0.0006805967034983,0.0006820205098939,0.0006832766597686,cvar,0.75,0.6959243783154452,2.1506759437038365e-05,False,False,
conv.0:out:49,conv.0,0,49,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.1397524836093098,1.1879028975963593,0.6983386009931565,0.2547089303843677,0.6895734667778015,0.0004280568840975,0.000423885328927,0.000425542169377,0.0004280568840975,cvar,0.75,0.3816359493987925,4.40387230129545e-06,False,True,16.0
conv.0:out:50,conv.0,0,50,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.1999082024751083,1.2882537692785263,2.4621453255414965,2.121570685505867,1.0475531816482544,0.001134759301159,0.0011264418049884,0.0011307802726051,0.001134759301159,cvar,0.75,1.0551111542201912,6.299495886907049e-06,False,True,27.0
